Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Klein, Rachel",HIUS 130 - Cultural Hist/1607-Civil War (A),FA07,130,86,91.5 %,92.8 %,4.41,B+ (3.49),B (3.14)
"Brivio, Alessandra",HIEU 120 - The Renaissance in Italy (A),S117,24,16,93.8 %,100.0 %,5.25,B+ (3.40),B (3.15)
"Hendrickson, Gerald M.",HILD 2C - United States History (A),SP17,181,143,89.2 %,92.1 %,3.67,B+ (3.44),B (3.15)
"Schneewind, Sarah",HIEA 124 - Life in Ming China (1368-1644) (A),WI17,21,11,80.0 %,90.0 %,8.5,B+ (3.38),B (3.15)
"Demetriou, Denise",HIEU 122 - Ancient Greece 1600-400 BC (A),WI17,30,11,72.7 %,72.7 %,8.5,B+ (3.30),B (3.15)
"Sage, Michael",HIEU 101 - Greece in the Classical Age (A),FA13,35,14,84.6 %,84.6 %,4.19,B+ (3.42),B (3.15)
"Cahill, Suzanne",HILD 10 - East Asia: The Great Tradition (A),FA12,161,71,76.6 %,85.9 %,4.4,B+ (3.42),B (3.15)
"Alvarez, Luis A","HIUS 146 - Race, Riots & Violence in U.S. (A)",SP12,139,57,89.5 %,92.9 %,3.94,B+ (3.33),B (3.15)
"Stephenson, Paul Anthony",HIEU 104 - Byzantine Empire (A),WI12,53,27,96.3 %,96.3 %,5.39,B+ (3.48),B (3.15)
"Prestholdt, Jeremy",HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A),SP10,66,33,97.0 %,96.9 %,4.38,B+ (3.45),B (3.15)
"Brown, Jeremy",HIEA 131 - China/War & Revolution 1911-49 (A),FA07,51,47,97.9 %,97.9 %,5.15,B+ (3.55),B (3.15)
"Kayali, Hasan",HINE 114 - History/Islamic Middle East (A),FA17,66,30,93.3 %,93.3 %,5.7,B+ (3.52),B (3.16)
"Matsumura, Wendy Y",HIEA 112 - Japan:Mid-19th C.-US Occupatn (A),WI17,75,30,100.0 %,93.1 %,5.29,B+ (3.30),B (3.16)
"Alvarez, Luis A","HIUS 146 - Race, Riots & Violence in U.S. (A)",FA14,113,40,85.0 %,90.0 %,4.04,B+ (3.36),B (3.16)
"Caciola, Nancy A",HIEU 115 - The Pursuit of the Millenium (A),WI14,34,19,78.9 %,89.5 %,3.55,B (3.22),B (3.16)
"Hillman, Susanne",HIEU 132 - Germany From Luther to Bismark (A),FA12,64,15,92.9 %,92.9 %,5.07,B+ (3.46),B (3.16)
"Clark, William",HISC 104 - History of Popular Science (A),FA12,62,25,95.7 %,91.3 %,3.23,B+ (3.63),B (3.16)
"Parrish, Michael E.",HIUS 150 - American Legal History to 1865 (A),FA12,57,21,89.5 %,94.7 %,5.13,B+ (3.50),B (3.16)
"Cahill, Suzanne",HIEA 136 - Thought/Reli China: Daoism (A),S211,32,12,100.0 %,100.0 %,6.33,A- (3.70),B (3.16)
"Jacobs, Justin M",HIEA 132 - Hist/People's Republic/China (A),SP11,71,39,100.0 %,97.4 %,5.99,B+ (3.66),B (3.16)
"Molina, Natalia Margarita",HIUS 117 - History of Los Angeles (A),SP11,77,33,83.9 %,87.1 %,5.17,B+ (3.30),B (3.16)
"Cahill, Suzanne",HIEA 137 - Women & Family/Chinese History (A),WI09,134,69,97.0 %,98.4 %,4.04,B+ (3.65),B (3.16)
"Sanders, Sara",HILA 102 - Latin America/Twentieth Centry (A),SP08,98,74,91.7 %,95.7 %,3.75,B+ (3.40),B (3.16)
"Widener, Daniel",HILA 122 - Cuba:Frm Colony-Socialist Repb (A),SP08,65,50,100.0 %,88.0 %,4.42,B (3.29),B (3.16)
"Brittsan, Zachary A.",HILA 101 - Lat Amer Independnce 1810-1898 (A),WI08,46,28,88.0 %,84.0 %,3.04,B+ (3.46),B (3.16)
"Klein, Rachel",HIUS 130 - Cultural Hist/1607-1865 (A),FA17,65,26,96.0 %,96.0 %,4.58,B+ (3.45),B (3.17)
"Widener, Daniel",HILA 122 - ColonyToSocialistRepublic:Cuba (A),SP17,54,13,83.3 %,83.3 %,2.83,B (3.20),B (3.17)
"Demetriou, Denise","HIEU 106 - Egypt, Greece, and Rome (A)",FA16,58,27,85.2 %,88.9 %,5.09,B (3.21),B (3.17)
"Westman, Robert S",HISC 106 - The Scientific Revolution (A),WI16,22,7,85.7 %,85.7 %,4.21,B+ (3.60),B (3.17)
"Watts, Edward J.",HIEU 103 - Decline and Fall/Roman Empire (A),SP13,74,27,92.6 %,92.6 %,4.96,B+ (3.58),B (3.17)
"Provence, Michael",HINE 119 - U.S. Mid-East Policy-Post WWII (A),SP13,70,19,100.0 %,94.4 %,4.94,B+ (3.39),B (3.17)
"Klein, Rachel",HILD 2B - United States History (A),WI13,160,73,87.7 %,94.5 %,5.11,B (3.28),B (3.17)
"Gheissari, Ali",HINE 126 - Iranian Revolutn Hist Perspctv (A),WI11,47,20,100.0 %,94.7 %,5.7,B+ (3.65),B (3.17)
"Klein, Rachel",HIUS 130 - Cultural Hist/1607-Civil War (A),FA09,113,73,95.9 %,98.6 %,4.42,B+ (3.53),B (3.17)
"Weeks, William E",HILD 2C - United States History (A),SP09,156,70,79.7 %,69.6 %,3.44,B+ (3.47),B (3.17)
"Cahill, Suzanne",HIEA 128 - History/Material Culture China (A),WI09,62,41,95.1 %,97.5 %,2.85,B+ (3.61),B (3.17)
"Luft, David S.",HIEU 143 - Europn Intellct Hst(1870-1945) (A),FA07,58,47,91.5 %,95.7 %,4.23,B+ (3.46),B (3.17)
"Caciola, Nancy A",HIEU 115 - The Pursuit of the Millenium (A),WI16,45,22,90.5 %,100.0 %,3.64,B (3.20),B (3.18)
"Jordan, Jessica",HIEA 113 - Fifteen Yr War/Asia & Pacific (A),WI14,44,12,100.0 %,100.0 %,6.33,A- (3.70),B (3.18)
"Monteon, Michael P.",HILA 102 - Latin America/Twentieth Centry (A),SP12,62,22,90.9 %,86.4 %,6.69,B+ (3.40),B (3.18)
"Klein, Rachel",HIUS 131 - Cultural Hist/Civil War-Presnt (A),SP11,131,51,94.0 %,90.0 %,4.09,B+ (3.44),B (3.18)
"Gutierrez, David G",HIUS 159 - Social&Econ Hist/Southwest II (A),WI11,51,21,85.7 %,81.0 %,5.07,B+ (3.59),B (3.18)
"Hunefeldt, Christine",HILA 102 - Latin America/Twentieth Centry (A),SP10,79,25,84.0 %,84.0 %,4.98,B+ (3.35),B (3.18)
"Kayali, Hasan",HINE 118 - Middle East/Twentieth Century (A),SP10,118,53,96.2 %,90.6 %,4.42,B+ (3.42),B (3.18)
"Shah, Nayan B",HIUS 115 - Hist. of Sexuality in the U.S. (A),SP10,124,57,75.0 %,73.2 %,5.88,B (3.09),B (3.18)
"Klein, Rachel",HIUS 131 - Cultural Hist/Civil War-Presnt (A),SP10,124,58,87.7 %,87.7 %,4.89,B+ (3.38),B (3.18)
"Clark, William",HISC 111 - The Atomic Bomb&the Atomic Age (A),SP09,112,75,97.3 %,97.3 %,2.86,B+ (3.62),B (3.18)
"Widener, Daniel",HIUS 134 - African American Cultural Hist (A),WI09,54,49,89.6 %,89.6 %,3.71,B+ (3.58),B (3.18)
"Miano, David Ringo",HIEU 105 - The Early Christian Church (A),SP08,99,52,92.3 %,98.1 %,3.77,B+ (3.58),B (3.18)
"Hunefeldt, Christine",HILA 100 - LatAmer-Colonial Transformatns (A),FA07,58,44,83.7 %,83.3 %,4.99,B (3.24),B (3.18)
"Golan, Tal",HISC 107 - Emergence of Modern Science (A),FA07,28,22,81.8 %,77.3 %,5.14,B+ (3.48),B (3.18)
"Neuheiser, Joerg",HIEU 154 - Mod German/Bismarck to Hitler (A),FA17,42,36,97.1 %,100.0 %,5.76,B (3.28),B (3.19)
"Provence, Michael",HINE 114 - History/Islamic Middle East (A),FA15,54,24,95.5 %,86.4 %,6.41,B+ (3.52),B (3.19)
"Henry, Todd A.","HIEA 150 - Modern Korea, 1800-1945 (A)",FA11,67,43,95.3 %,100.0 %,6.55,B+ (3.34),B (3.19)
"Meade, Everard",HILA 131 - History of Mexico:1821-1924 (A),FA10,92,44,86.0 %,95.3 %,7.32,B+ (3.39),B (3.19)
"Prestholdt, Jeremy",HIAF 111 - Modern Africa Since 1880 (A),WI10,83,37,100.0 %,100.0 %,4.5,B+ (3.34),B (3.19)
"Mackinnon, Moira",HILA 120 - History of Argentina (A),WI10,34,15,86.7 %,80.0 %,5.03,A- (3.79),B (3.19)
"Wilson, Rai I.",HIUS 128 - African-American Legal History (A),WI10,40,21,100.0 %,100.0 %,3.55,B+ (3.63),B (3.19)
"Kayali, Hasan",HINE 118 - Middle East/Twentieth Century (A),SP09,108,55,96.2 %,96.3 %,4.43,B+ (3.67),B (3.19)
"Plant, Rebecca Jo",HILD 2B - United States History (A),WI09,157,82,85.2 %,92.6 %,4.01,B+ (3.46),B (3.19)
"Jordan, Ryan P",HIUS 101 - The American Revolution (A),WI09,73,46,84.8 %,84.8 %,4.2,B+ (3.39),B (3.19)
"Cahill, Suzanne",HIEA 136 - Thought/Reli China: Daoism (A),SP08,81,46,84.1 %,95.5 %,3.98,B+ (3.43),B (3.19)
"Plant, Rebecca Jo",HIUS 156 - American Women/Amern Womanhood (A),WI08,74,46,100.0 %,100.0 %,4.28,B+ (3.48),B (3.19)
"Kayali, Hasan",HINE 118 - Middle East/Twentieth Century (A),SP17,34,14,92.3 %,84.6 %,6.19,B (3.23),B (3.20)
"Kayali, Hasan",HINE 116 - Mid East/Age of Euro Empires (A),WI16,24,9,88.9 %,88.9 %,6.72,B+ (3.50),B (3.20)
"Alvarez, Luis A","HIUS 146 - Race, Riots & Violence in U.S. (A)",WI16,101,49,93.3 %,91.1 %,4.32,B+ (3.44),B (3.20)
"Henderson, David Kenneth",HIEU 143 - Europn Intellct Hst(1870-1945) (A),S215,21,11,81.8 %,81.8 %,5.41,B+ (3.63),B (3.20)
"Cahill, Suzanne",HIEA 128 - History/Material Culture China (A),S214,20,4,100.0 %,100.0 %,5,B (3.25),B (3.20)
"Parrish, Michael E.",HILD 2C - United States History (A),SP14,152,47,73.8 %,90.5 %,3.93,B (3.21),B (3.20)
"Gere, Catherina M.",HILD 30 - History of Public Health (A),SP13,135,48,100.0 %,100.0 %,3.44,B+ (3.46),B (3.20)
"Caciola, Nancy A",HIEU 115 - The Pursuit of the Millenium (A),FA11,44,20,70.0 %,85.0 %,4.4,B (3.16),B (3.20)
"Reynolds, Edward",HIAF 111 - Modern Africa Since 1880 (A),S111,24,13,76.9 %,84.6 %,6.65,B+ (3.50),B (3.20)
"Riggs, Miriam E",HILA 121 - History Of Brazil (A),FA10,55,25,100.0 %,100.0 %,4.02,A- (3.71),B (3.20)
"Hillman, Susanne",HIEU 134 - Formatn Russian Emp 800-1855 (A),FA09,40,32,96.9 %,96.8 %,4.75,B+ (3.69),B (3.20)
"Caciola, Nancy A",HIEU 111 - Europe in the Middle Ages (A),WI09,64,56,85.7 %,96.4 %,4.91,B+ (3.39),B (3.20)
"Miano, David Ringo",HIEU 102A - Ancient Roman Civilization (A),FA08,153,105,96.1 %,99.0 %,4.6,B+ (3.58),B (3.20)
"Edelman, Robert S.",HIEU 127 - Sport in the Modern World (A),SP08,58,31,93.3 %,93.3 %,2.9,B+ (3.61),B (3.20)
"Kayali, Hasan",HINE 118 - Middle East/Twentieth Century (A),SP08,102,67,95.4 %,93.8 %,4.5,B+ (3.50),B (3.20)
"Provence, Michael",HINE 119 - Contemp Middle East Conflicts (A),FA07,127,69,97.0 %,95.5 %,3.81,A- (3.72),B (3.20)
"Kwak, Nancy",HIUS 148 - American Cities/20th Century (A),S117,23,14,78.6 %,92.3 %,9.64,B+ (3.31),B (3.21)
"Kwak, Nancy",HIUS 123 - History of New York City (A),SP17,41,21,95.0 %,90.0 %,4.2,B+ (3.44),B (3.21)
"Kim, Hyung-Wook",HIEA 144 - Topics in East Asian History (A),SP16,46,22,90.9 %,90.9 %,4.14,B+ (3.68),B (3.21)
"Matsumura, Wendy Y",HIEA 112 - Japan:Mid-19th C.-US Occupatn (A),FA15,63,25,100.0 %,100.0 %,4.92,B (3.29),B (3.21)
"Widener, Daniel",HILA 122 - Cuba:Frm Colony-Socialist Repb (A),SP13,52,20,75.0 %,65.0 %,3.5,B (3.26),B (3.21)
"Propp, William Henry",HINE 113 - Ancient Near Eastern Mythology (A),SP13,26,8,71.4 %,57.1 %,5.17,B (3.17),B (3.21)
"Monteon, Michael P.",HILD 14 - Film & History in Latin Amer (A),WI13,50,24,87.5 %,100.0 %,3.63,B+ (3.41),B (3.21)
"Kayali, Hasan",HINE 114 - History/Islamic Middle East (A),FA12,87,39,100.0 %,94.6 %,4.72,B+ (3.56),B (3.21)
"Gheissari, Ali",HINE 118 - Middle East/Twentieth Century (A),SP11,85,38,89.5 %,71.1 %,5.39,B+ (3.62),B (3.21)
"Edelman, Robert S.",HIEU 127 - Sport in the Modern World (A),FA10,134,53,73.6 %,64.2 %,4.92,B+ (3.48),B (3.21)
"Fujitani, Takashi",HIEA 113 - Fifteen Yr War/Asia & Pacific (A),WI10,110,45,92.5 %,90.2 %,5.28,B+ (3.54),B (3.21)
"Biess, Frank Peter",HIEU 128 - Europe since 1945 (A),WI10,100,69,92.8 %,94.2 %,5.17,B+ (3.64),B (3.21)
"Plant, Rebecca Jo","HIUS 157 - American Women,Womanhood1870-P (A)",WI10,71,37,100.0 %,100.0 %,5.56,B+ (3.33),B (3.21)
"Crawford, Matthew J.",HIEU 125 - Reformation Europe (A),WI09,25,21,85.7 %,90.5 %,3.45,B+ (3.38),B (3.21)
"Monteon, Michael P.",HILD 14 - Film & History in Latin Amer (A),SP08,59,28,70.4 %,74.1 %,3.36,B (3.21),B (3.21)
"Henry, Todd A.",HIEA 153 - Social&Cultural Hist/20c Korea (A),WI17,52,40,82.5 %,87.5 %,5.97,B (3.13),B (3.22)
"Klein, Rachel",HIUS 131 - Cultural Hist/1865-1917 (A),SP15,59,22,100.0 %,100.0 %,5.17,B+ (3.56),B (3.22)
"Hillman, Susanne",HIEU 134 - Formatn Russian Emp 800-1855 (A),FA13,41,21,95.2 %,100.0 %,4.6,B+ (3.44),B (3.22)
"Kayali, Hasan",HINE 118 - Middle East/Twentieth Century (A),WI13,40,13,92.3 %,92.3 %,4.19,B+ (3.46),B (3.22)
"Marino, John A.",HIEU 124GS - The City In Italy (A),S112,23,16,100.0 %,100.0 %,6.75,B+ (3.44),B (3.22)
"Pye, David K.",HILD 7C - Race & Ethnicity/United States (A),S111,23,6,100.0 %,100.0 %,8.17,B+ (3.50),B (3.22)
"Cahill, Suzanne",HIEA 120 - Classical Chinese Phil & Cult (A),FA10,101,45,84.4 %,95.5 %,5.83,B+ (3.52),B (3.22)
"Tribbett, Krystal L",HIUS 154 - Western Environmental History (A),FA10,65,37,61.1 %,48.6 %,3.61,B+ (3.40),B (3.22)
"Root, Bradley Walter",HIEU 105 - The Early Christian Church (A),WI10,96,35,100.0 %,100.0 %,3.99,B+ (3.58),B (3.22)
"Clark, William",HISC 111 - The Atomic Bomb&the Atomic Age (A),FA09,109,66,100.0 %,95.2 %,2.5,A- (3.73),B (3.22)
"Alvarez, Luis A",HILD 7C - Race & Ethnicity/United States (A),SP09,299,172,86.1 %,92.8 %,3.7,B+ (3.34),B (3.22)
"Clark, William",HISC 104 - History of Popular Science (A),SP09,66,28,100.0 %,100.0 %,3.76,B+ (3.62),B (3.22)
"Johnson, Matthew D",HILD 12 - Twentieth-Century East Asia (A),SP08,185,83,92.5 %,87.5 %,4.16,B+ (3.50),B (3.22)
"Matsumura, Wendy Y",HIEA 115 - Social&Cultural/20th C Japan (A),SP17,61,23,87.0 %,78.3 %,4.59,B+ (3.38),B (3.23)
"Vitz, Matthew",HILA 132 - Modern Mexico (A),WI17,102,47,100.0 %,100.0 %,4.14,B+ (3.59),B (3.23)
"Keup, Charissa M",HIUS 156 - American Women/Amern Womanhood (A),FA13,27,11,100.0 %,90.9 %,4.5,B+ (3.50),B (3.23)
"Meade, Everard",HILA 132 - History of Contemporary Mexico (A),SP13,66,24,100.0 %,95.8 %,5.11,B+ (3.40),B (3.23)
"Hendrickson, Gerald M.",HIUS 145 - From New Era to New Deal (A),SP12,54,16,93.8 %,93.3 %,6.5,B+ (3.50),B (3.23)
"Monteon, Michael P.",HILA 118 - US Agression/Latin Am 1898-Prs (A),FA11,47,17,100.0 %,94.1 %,6.38,B+ (3.44),B (3.23)
"Kayali, Hasan",HINE 114 - History/Islamic Middle East (A),FA11,114,56,94.6 %,85.7 %,4.72,B+ (3.62),B (3.23)
"Biess, Frank Peter",HIEU 128 - Europe since 1945 (A),SP11,169,147,91.1 %,90.3 %,5.38,B+ (3.37),B (3.23)
"Biess, Frank Peter",HIEU 154 - Mod German/Bismarck to Hitler (A),SP11,60,40,97.5 %,97.5 %,5.5,B+ (3.64),B (3.23)
"Edelman, Robert S.",HIEU 156 - Hist. Soviet Union 1905-1991 (A),SP11,107,31,80.0 %,76.7 %,5.19,B+ (3.42),B (3.23)
"Radcliff, Pamela B.",HIEU 151 - Spain Since 1808 (A),WI10,49,24,91.7 %,91.7 %,4.17,B+ (3.62),B (3.23)
"Goodblatt, David",HINE 103 - The Jewish Diaspora/Antiquity (A),WI10,41,21,65.0 %,81.0 %,3.74,B (3.25),B (3.23)
"Biess, Frank Peter",HITO 133 - War & Society/Second World War (A),FA09,65,48,95.8 %,100.0 %,5.67,B+ (3.51),B (3.23)
"Plant, Rebecca Jo",HIUS 156 - American Women/Amern Womanhood (A),FA08,69,46,90.5 %,97.6 %,3.92,B+ (3.63),B (3.23)
"Shafir, Nir",HINE 109 - History of the Ottoman Empire (A),WI17,36,11,80.0 %,70.0 %,6.94,B+ (3.38),B (3.24)
"Murillo, Dana V.",HILA 100 - Conquest/Empire: The Americas (A),FA14,39,14,92.3 %,92.3 %,8.35,B+ (3.64),B (3.24)
"Petrick, Elizabeth R",HISC 144 - Topics in Science Studies (A),SP14,35,12,100.0 %,100.0 %,4.67,B+ (3.56),B (3.24)
"Henry, Todd A.","HIEA 151 - The Two Koreas, 1945-Prsent (A)",WI14,50,12,90.9 %,81.8 %,5.59,B+ (3.43),B (3.24)
"Brittsan, Zachary A.",HILA 132 - History of Contemporary Mexico (A),SP09,56,34,97.1 %,91.2 %,5.09,B+ (3.57),B (3.24)
"Kayali, Hasan",HINE 118 - Middle East/Twentieth Century (A),SP16,66,26,96.0 %,96.0 %,4.33,B+ (3.36),B (3.25)
"Gallant, Thomas W.",HIEU 116B - Greece/Balkans/Age/Nationalism (A),WI16,54,26,92.3 %,92.3 %,3.62,A- (3.75),B (3.25)
"Kim, Gloria",HILD 7B - Race & Ethnicity/United States (A),WI15,345,145,89.0 %,89.0 %,3.74,B+ (3.46),B (3.25)
"Vitz, Matthew",HILA 131 - History of Mexico:1821-1924 (A),FA14,61,22,94.4 %,100.0 %,4.83,B+ (3.53),B (3.25)
"Zroka, Ryan Edward",HIEU 128 - Europe since 1945 (A),SP13,85,40,97.5 %,97.5 %,5.05,B+ (3.64),B (3.25)
"Reynolds, Edward",HIAF 120 - History of South Africa (A),WI13,31,13,92.3 %,92.3 %,3.17,A (4.00),B (3.25)
"Wishon, Mark T",HIEU 130 - Europe/18th Century(1688-1789) (A),FA12,49,11,90.9 %,90.9 %,3.41,A- (3.70),B (3.25)
"Meade, Everard",HILA 131 - History of Mexico:1821-1924 (A),WI12,64,26,80.8 %,92.3 %,5.12,B+ (3.38),B (3.25)
"Van Young, Eric",HILD 14 - Film & History in Latin Amer (A),WI12,58,26,96.0 %,95.8 %,3.14,B+ (3.38),B (3.25)
"Klein, Rachel",HILD 2B - United States History (A),WI12,166,79,92.3 %,91.0 %,4.32,B+ (3.38),B (3.25)
"Clark, William",HISC 111 - The Atomic Bomb&the Atomic Age (A),FA11,128,58,96.6 %,94.8 %,3.36,A- (3.79),B (3.25)
"Shapiro, Michael",HILD 12 - Twentieth-Century East Asia (A),SP11,145,69,64.7 %,45.6 %,6.06,B+ (3.42),B (3.25)
"Widener, Daniel",HIUS 114 - California History (A),WI09,46,32,96.8 %,96.9 %,3.47,B (3.26),B (3.25)
"Plant, Rebecca Jo","HIUS 157 - American Women,Womanhood1870-P (A)",WI09,76,49,89.4 %,93.6 %,4.01,B+ (3.41),B (3.25)
"Chamberlin, Foster Pease","HIEU 146 - Fascism,Communism 1919-1945 (A)",S117,23,13,100.0 %,100.0 %,5.27,B+ (3.31),B (3.26)
"Schneewind, Sarah",HILD 10 - East Asia: The Great Tradition (A),FA16,152,115,64.5 %,74.5 %,7.98,B (3.00),B (3.26)
"Golan, Tal","HISC 131 - Science, Technology, & Law (A)",FA15,45,14,78.6 %,57.1 %,4.5,B (3.00),B (3.26)
"Hendrickson, Gerald M.",HILD 2C - United States History (A),SP15,187,133,95.5 %,100.0 %,3.84,B+ (3.53),B (3.26)
"Watts, Edward J.",HIEU 102 - Roman History (A),WI15,112,38,100.0 %,100.0 %,4.45,B+ (3.45),B (3.26)
"Caciola, Nancy A",HIEU 144 - Topics in European History (B),WI15,26,9,88.9 %,100.0 %,7.17,A- (3.71),B (3.26)
"Kayali, Hasan",HINE 114 - History/Islamic Middle East (A),FA14,58,27,92.3 %,96.2 %,5.73,B+ (3.54),B (3.26)
"Klein, Rachel",HIUS 131 - Cultural Hist/1865-1917 (A),SP14,58,24,78.3 %,87.0 %,4.33,B+ (3.50),B (3.26)
"Schneewind, Sarah",HILD 10 - East Asia: The Great Tradition (A),FA13,124,93,72.0 %,77.4 %,7.02,B (3.24),B (3.26)
"Molina, Natalia Margarita",HIUS 126 - History of Race in the U.S. (A),WI11,23,12,91.7 %,91.7 %,7.5,B+ (3.50),B (3.26)
"Belknap, Michal R",HIUS 151 - American Legal History 1865-P (A),FA10,55,28,78.6 %,85.7 %,7,B (3.09),B (3.26)
"Weeks, William E",HIUS 120 - Peace Movements in America (A),WI09,30,14,92.3 %,100.0 %,5.33,B (3.14),B (3.26)
"Klein, Rachel",HIUS 131 - Cultural Hist/Civil War-Presnt (A),SP08,130,100,92.8 %,94.8 %,3.55,B+ (3.45),B (3.26)
"Wishon, Mark T",HILD 2A - United States History (A),FA17,195,93,90.1 %,93.3 %,4.52,B+ (3.53),B (3.27)
"Hillman, Susanne","HIEU 129 - Paris, Past and Present (A)",S115,27,21,95.2 %,100.0 %,7.8,B+ (3.60),B (3.27)
"Hanna, Mark G.",HIUS 133 - The Golden Age of Piracy (A),WI15,146,64,95.2 %,93.7 %,3.7,B+ (3.35),B (3.27)
"Schenderlein, Anne Clara",HIEU 128 - Europe since 1945 (A),SP14,70,25,91.7 %,95.8 %,4.67,B+ (3.32),B (3.27)
"Biess, Frank Peter",HITO 133 - War & Society/Second World War (A),WI14,32,13,100.0 %,100.0 %,4.5,B+ (3.64),B (3.27)
"Alvarez, Luis A","HIUS 146 - Race, Riots & Violence in U.S. (A)",FA13,91,31,96.7 %,96.7 %,4.7,B+ (3.56),B (3.27)
"Gallant, Thomas W.",HIEU 116A - Greece/Balkans/Age/Ottoman (A),FA11,64,32,100.0 %,100.0 %,4.76,B+ (3.67),B (3.27)
"Reynolds, Edward",HIAF 120 - History of South Africa (A),SP11,64,26,92.3 %,92.3 %,3.96,B+ (3.50),B (3.27)
"Henry, Todd A.","HIEA 150 - Modern Korea, 1800-1945 (A)",WI11,53,24,83.3 %,79.2 %,5.98,B+ (3.33),B (3.27)
"Miano, David Ringo",HIEU 101A - Ancient Greek Civilization (A),WI10,66,33,97.0 %,97.0 %,3.77,A- (3.72),B (3.27)
"Provence, Michael",HINE 120 - Middle East in the New Century (A),FA16,65,29,88.9 %,88.9 %,3.91,B+ (3.50),B (3.28)
"Belknap, Michal R",HIUS 151 - American Legal History 1865-P (A),SP14,31,8,85.7 %,85.7 %,5.36,A (4.00),B (3.28)
"Golan, Tal","HISC 131 - Science, Technology, & Law (A)",WI14,45,31,93.1 %,96.6 %,4.93,B+ (3.61),B (3.28)
"Edwards, Cutler C",HILD 7A - Race & Ethnicity/United States (A),S112,42,15,93.3 %,93.3 %,5.57,A- (3.70),B (3.28)
"Clark, William",HISC 106 - The Scientific Revolution (A),S112,28,8,100.0 %,100.0 %,6.83,A- (3.75),B (3.28)
"Plant, Rebecca Jo","HIUS 157 - American Women,Womanhood1870-P (A)",WI12,30,20,100.0 %,100.0 %,5.76,B+ (3.38),B (3.28)
"Clark, William",HISC 106 - The Scientific Revolution (A),FA11,43,19,100.0 %,94.7 %,3.45,B+ (3.69),B (3.28)
"Hanna, Mark G.",HIUS 133 - The Golden Age of Piracy (A),WI11,132,73,90.4 %,87.5 %,3.81,B+ (3.51),B (3.28)
"Kayali, Hasan",HINE 114 - History/Islamic Middle East (A),FA10,71,32,100.0 %,100.0 %,5.27,B+ (3.68),B (3.28)
"Zepeda Cortes, Maria B.",HILA 102 - Latin America/Twentieth Centry (A),SP09,81,47,84.8 %,67.4 %,3.72,B+ (3.38),B (3.28)
"Goodblatt, David",HITO 104 - Jews & Judaism/Ancient&Medievl (A),FA07,52,43,97.6 %,95.2 %,3.5,B+ (3.46),B (3.28)
"Prestholdt, Jeremy",HIAF 111 - Modern Africa Since 1880 (A),WI16,62,48,100.0 %,97.9 %,3.37,B+ (3.45),B (3.29)
"Matsumura, Wendy Y",HIEA 115 - Social&Cultural/20th C Japan (A),WI16,64,29,85.7 %,92.9 %,4.5,B+ (3.45),B (3.29)
"Sine, Elizabeth E",HIUS 142A - US in 20th Century 1900-1945 (A),FA15,34,28,92.3 %,96.2 %,5.65,B+ (3.61),B (3.29)
"Klein, Rachel",HIUS 130 - Cultural Hist/1607-1865 (A),SP14,47,18,100.0 %,100.0 %,6.07,B+ (3.62),B (3.29)
"Provence, Michael",HINE 114 - History/Islamic Middle East (A),FA13,57,23,90.9 %,90.9 %,4.86,B+ (3.61),B (3.29)
"Prestholdt, Jeremy",HIAF 111 - Modern Africa Since 1880 (A),FA12,70,30,96.6 %,96.6 %,3.86,B+ (3.36),B (3.29)
"Cahill, Suzanne",HIEA 128 - History/Material Culture China (A),S212,20,4,100.0 %,100.0 %,8,B+ (3.67),B (3.29)
"Edelman, Robert S.",HIEU 156 - Hist. Soviet Union 1905-1991 (A),SP12,125,36,77.8 %,69.4 %,5,B+ (3.36),B (3.29)
"Edelman, Robert S.",HIEU 127 - Sport in the Modern World (A),FA11,112,34,69.7 %,66.7 %,4.14,B+ (3.50),B (3.29)
"Provence, Michael",HINE 119 - U.S. Mid-East Policy-Post WWII (A),FA11,124,54,94.4 %,92.6 %,5.23,B+ (3.53),B (3.29)
"Reynolds, Edward",HIAF 120 - History of South Africa (A),S111,22,6,100.0 %,100.0 %,6.17,B+ (3.50),B (3.29)
"Cahill, Suzanne",HIEA 135 - Thought&Reli China: Buddhism (A),S111,36,12,91.7 %,90.9 %,4.5,B+ (3.60),B (3.29)
"Miano, David Ringo",HIEU 108S - Sex & Romance/ Ancient World (A),S111,50,18,66.7 %,88.9 %,4.94,B+ (3.31),B (3.29)
"Miano, David Ringo",HIEU 102A - Ancient Roman Civilization (A),WI11,186,92,90.2 %,89.1 %,4.78,B+ (3.67),B (3.29)
"Shragge, Abraham Joseph",HIUS 147 - History of the American Suburb (A),SP10,86,42,95.0 %,97.5 %,4.15,B+ (3.45),B (3.29)
"Hertz, Deborah",HITO 105 - Jewish Modernity/1648 - 1948 (A),WI10,38,18,77.8 %,88.9 %,4.94,B+ (3.53),B (3.29)
"Hertz, Deborah",HIEU 132 - Germany From Luther to Bismark (A),FA09,49,21,95.2 %,95.2 %,4.79,B+ (3.65),B (3.29)
"Pye, David K.",HILD 7A - Race & Ethnicity/United States (A),FA09,359,248,66.5 %,55.7 %,3.93,B (3.23),B (3.29)
